"gene","p_value"
"ENSG00000164611",2.47031331451276e-29
"ENSG00000088325",2.7095430976942e-29
"ENSG00000135451",7.37975114722196e-29
"ENSG00000134057",1.0559756648405e-27
"ENSG00000169607",1.13214321619866e-27
"ENSG00000168497",2.67721424988008e-24
"ENSG00000105011",8.3098915809613e-22
"ENSG00000148773",1.34584488098245e-19
"ENSG00000134690",2.49178891152026e-17
"ENSG00000137807",1.66332782479272e-16
"ENSG00000076555",3.65040325730935e-16
"ENSG00000101003",4.58849271243177e-16
"ENSG00000112984",1.89549877824306e-15
"ENSG00000142945",1.90831351150038e-14
"ENSG00000123485",2.20473861483632e-14
"ENSG00000157456",2.64634482327705e-14
"ENSG00000089685",6.72254379715419e-14
"ENSG00000079462",3.39900542235339e-13
"ENSG00000175063",5.47815462763264e-13
"ENSG00000087586",1.64605442285414e-12
"ENSG00000170312",2.28934355330076e-12
"ENSG00000109805",2.6802466661384e-12
"ENSG00000138180",3.05365993214595e-12
"ENSG00000077152",3.10102218101855e-12
"ENSG00000169679",3.61422408476742e-12
"ENSG00000135437",3.73254341587396e-12
"ENSG00000111206",3.95812946430542e-12
"ENSG00000121152",4.04141248713654e-12
"ENSG00000101447",4.1642515070697e-12
"ENSG00000090889",4.19819316414229e-12
"ENSG00000138160",5.16148839075992e-12
"ENSG00000165304",5.87066170659861e-12
"ENSG00000129810",6.000487478107e-12
"ENSG00000166851",6.29491994135715e-12
"ENSG00000154839",7.07215606434917e-12
"ENSG00000165480",7.54813408535941e-12
"ENSG00000146670",9.34638563048558e-12
"ENSG00000035499",1.19784209038055e-11
"ENSG00000126787",1.39302259036044e-11
"ENSG00000024526",1.55474674316134e-11
"ENSG00000186185",1.78409894579487e-11
"ENSG00000111665",1.82058334685375e-11
"ENSG00000178999",1.84621188020712e-11
"ENSG00000101057",1.93591065292574e-11
"ENSG00000156970",2.02557980006375e-11
"ENSG00000174371",2.16144764303417e-11
"ENSG00000080986",2.21695580414056e-11
"ENSG00000075218",2.27910178456225e-11
"ENSG00000143228",2.37361063846215e-11
"ENSG00000109674",2.39442437079135e-11
"ENSG00000131747",2.53647765251718e-11
"ENSG00000237649",2.60892413361399e-11
"ENSG00000051180",2.78350620759895e-11
"ENSG00000117399",3.16642385737188e-11
"ENSG00000135476",3.74014349130772e-11
"ENSG00000118193",3.95662487685884e-11
"ENSG00000076382",4.64542810724032e-11
"ENSG00000092853",5.8591335499057e-11
"ENSG00000100526",6.11141027671083e-11
"ENSG00000066279",6.22185132151983e-11
"ENSG00000122952",6.74262331605004e-11
"ENSG00000011426",6.88370316064875e-11
"ENSG00000186871",7.23671257986293e-11
"ENSG00000137727",7.40197937261103e-11
"ENSG00000164330",7.55805171740054e-11
"ENSG00000117650",7.99450947797221e-11
"ENSG00000117724",8.14017801048126e-11
"ENSG00000165124",8.28651969181783e-11
"ENSG00000113368",8.67052436155918e-11
"ENSG00000072571",9.41390715678643e-11
"ENSG00000158402",1.21257524608442e-10
"ENSG00000079308",1.41456658955955e-10
"ENSG00000123243",1.52182506410886e-10
"ENSG00000169744",1.65761971331265e-10
"ENSG00000171848",1.6625403316962e-10
"ENSG00000123975",2.03638442583908e-10
"ENSG00000161888",2.11091164989259e-10
"ENSG00000168078",2.22008198461459e-10
"ENSG00000022267",2.24429653778133e-10
"ENSG00000152253",2.46673756564377e-10
"ENSG00000276043",2.9113894307516e-10
"ENSG00000105974",2.94294293734124e-10
