"gene","log2FC","padj"
"ENSG00000091831",-5.15068595431471,3.03966254919941e-210
"ENSG00000287914",-5.87519715793204,3.47188285813382e-171
"ENSG00000150667",-4.93190290102135,7.19464255815539e-167
"ENSG00000134830",-3.26608578332787,1.84766458903032e-159
"ENSG00000225362",-4.68453544420413,9.84026206910446e-159
"ENSG00000173467",-5.23893018869153,2.48641269199925e-155
"ENSG00000109436",-3.3049784076767,1.70294402864219e-154
"ENSG00000153002",-9.39311536640694,2.55984932681193e-146
"ENSG00000171428",-4.70660961207483,1.95256986696722e-141
"ENSG00000120262",-3.39821626110058,3.50268760487116e-140
"ENSG00000107485",-3.11220717537817,3.28055909360911e-139
"ENSG00000204434",-5.41379667547776,4.62545635825707e-136
"ENSG00000251141",-5.63185146611205,1.16682514079673e-134
"ENSG00000248360",-3.96228267472285,2.93221023928678e-134
"ENSG00000249203",-8.61456306193779,9.05016795472169e-134
"ENSG00000115648",-3.25922406276649,3.12291548082331e-132
"ENSG00000187720",-3.2267004155365,1.54231699789255e-129
"ENSG00000248779",-9.42337077287085,6.26988502141249e-129
"ENSG00000175356",-4.6111943908529,3.79560783921487e-126
"ENSG00000256612",-6.13105226194377,6.60932973070028e-126
"ENSG00000100219",-2.43384867546754,5.20628320707524e-124
"ENSG00000276644",-3.83110217452845,1.35029609358131e-122
"ENSG00000232400",-5.47436118767699,1.2973751848624e-120
"ENSG00000160182",-6.24569434836615,4.80912196611258e-120
"ENSG00000162989",-7.23427588657155,2.1123699377199e-119
"ENSG00000074410",-3.36880633112375,1.01318893274961e-117
"ENSG00000285094",-6.13338795854062,4.04355203791823e-117
"ENSG00000180777",-5.51624295562882,1.12407799712406e-116
"ENSG00000224559",-5.5452999583761,6.0801576304942e-116
"ENSG00000286208",-6.0414340855974,8.70111422379447e-114
"ENSG00000233823",-6.10864847636375,1.29487247388362e-112
"ENSG00000183044",-3.0349904015382,1.65212879267084e-112
"ENSG00000116176",-5.50521734963392,1.78928804093021e-112
"ENSG00000178935",-2.49964629704395,1.80489886004818e-112
"ENSG00000287952",-6.37572649726386,4.78784974991856e-112
"ENSG00000249661",-4.49836915994247,1.93122258489099e-111
"ENSG00000108932",-3.72878128296068,3.89585559589303e-111
"ENSG00000170099",-8.21466400847535,4.05429137226981e-110
"ENSG00000255774",-5.26473414778017,1.97395060746294e-109
"ENSG00000223808",-6.56556620819316,5.70537035122531e-109
"ENSG00000253768",-5.87950078251535,1.84182489711463e-108
"ENSG00000158258",-3.97535929050366,2.38983062167337e-108
"ENSG00000259725",-3.81361151461885,2.70791879607831e-107
"ENSG00000178568",-3.82899834046766,2.1657942858664e-106
"ENSG00000222014",-3.56441971500646,3.56440327389508e-103
"ENSG00000273472",-3.10330849437688,2.56538879226689e-102
"ENSG00000152086",-5.18293242545678,1.07119829694622e-101
"ENSG00000225449",-4.15088607355852,1.58131738958859e-100
"ENSG00000206113",-3.03977758591496,1.94592823662686e-100
"ENSG00000003989",-4.09791241370747,1.96594273639508e-100
"ENSG00000164756",-6.9356587420195,2.00093801033253e-100
"ENSG00000263618",-6.86056233607213,3.27059990877227e-100
"ENSG00000064787",-3.87598339351013,5.8734709969342e-100
"ENSG00000173335",-7.71408215229031,1.04388747532353e-99
"ENSG00000176532",-3.09886274104322,5.71467954747363e-99
"ENSG00000108176",-3.49474267479286,6.64594708632902e-99
"ENSG00000106541",-4.00302735423778,1.44203303484211e-98
"ENSG00000143412",-2.43727375346803,3.23972765035918e-98
"ENSG00000089101",-2.9957268551847,2.09106538470551e-97
"ENSG00000286379",-4.0891235570989,4.85856294322884e-97
"ENSG00000170893",-6.72122753824699,9.18984570250727e-97
"ENSG00000100362",-6.21654405635717,1.17912268389459e-95
"ENSG00000233622",-4.68340638244032,1.47872612903832e-95
"ENSG00000186868",-3.27140713187231,2.95136860132014e-95
"ENSG00000196208",-3.1597540086264,8.51833478711326e-95
"ENSG00000082175",-4.5245166752605,1.2128365906088e-94
"ENSG00000139865",-3.40455994927129,2.34511349342469e-94
"ENSG00000207422",-6.85241097332244,6.04506004329388e-94
"ENSG00000099769",-3.83778365704621,7.92489334823812e-94
"ENSG00000185133",-2.75716277980008,2.84527492887105e-93
"ENSG00000132554",-4.03193958080349,3.88695670421872e-93
"ENSG00000287900",-7.38624872016351,6.34474496101855e-93
"ENSG00000124249",-3.23920213130594,1.27444136651566e-92
"ENSG00000255974",-6.65505242630892,1.89910260708543e-92
"ENSG00000225208",-6.10391302363671,2.75700645507853e-92
"ENSG00000188916",-4.75413130893371,2.87175105391481e-92
"ENSG00000196834",-4.60123715099125,3.20522575673798e-92
"ENSG00000248429",-2.73384742128039,3.73094892029241e-92
"ENSG00000144218",-3.3465116252923,4.02752467270647e-92
"ENSG00000129514",-2.93655561344184,4.67929582315433e-92
"ENSG00000254290",-3.64656649960097,6.31625238436369e-92
"ENSG00000230393",-3.88984173776957,1.44593046180759e-91
"ENSG00000279685",-5.12847545109812,1.84733499912024e-91
"ENSG00000163879",-2.92114283771335,6.15154409993107e-91
"ENSG00000141424",-2.97853017448022,2.16538117725793e-90
"ENSG00000110169",-3.84241690592329,2.26109055406039e-90
"ENSG00000170743",-4.40277321579894,3.28005747880598e-90
"ENSG00000197375",-1.54044622695375,3.70502933537523e-90
"ENSG00000164287",-6.56141856725448,1.11872607501753e-89
"ENSG00000253125",-4.17961040266144,1.33040417285012e-89
"ENSG00000183888",-4.62832064081229,3.65732294980389e-89
"ENSG00000235584",-4.59819125110112,2.00828772293816e-88
"ENSG00000224577",-2.99589003271536,2.25642190655597e-88
"ENSG00000157303",-3.13516844693549,1.92435256373596e-87
"ENSG00000141337",-1.97690006012486,3.29789977390402e-87
"ENSG00000183323",-1.44869876883583,3.80060117571913e-87
"ENSG00000162482",-3.72546857056981,8.38644812333038e-87
"ENSG00000130045",-3.42285837041961,1.48150936704136e-86
"ENSG00000092068",-2.26135193618211,1.83096716395383e-86
"ENSG00000188001",-3.89053690396158,1.90948378805073e-86
"ENSG00000259459",-3.67895488502709,2.63938469524933e-86
"ENSG00000252621",-5.50996662957344,3.72724698256644e-86
"ENSG00000159871",2.12597064194779,4.77145808655519e-86
"ENSG00000148513",-5.12890556685578,8.04507177191583e-86
"ENSG00000004838",-2.80227154409159,1.07166672360425e-85
"ENSG00000134802",1.96996707850569,1.08018868269058e-85
"ENSG00000134352",-2.25443861056569,1.66209899459743e-85
"ENSG00000144891",-4.75509564606129,3.70082565927063e-85
"ENSG00000090534",-3.31148008079783,8.05286879770594e-85
"ENSG00000254231",-2.53802817554982,9.89777940828563e-85
"ENSG00000244402",-5.56738328995032,1.13081601426845e-84
"ENSG00000204248",3.80450542730248,2.57464694277314e-84
"ENSG00000171604",-1.67390547726578,2.73593336574236e-84
"ENSG00000236313",-5.24937151859664,1.06362800519286e-83
"ENSG00000163683",-1.62942176757693,1.44104141172807e-83
"ENSG00000170367",-7.60659389563985,2.90146808799617e-83
"ENSG00000283526",-3.62286559275233,3.02235329838715e-83
"ENSG00000249346",-5.06474267046979,5.65242591955383e-83
"ENSG00000137501",-2.32952035786288,1.79458912095621e-82
"ENSG00000168350",-2.90884939442558,2.37349951542347e-82
"ENSG00000146476",-2.50625436043463,7.82089412017305e-82
"ENSG00000151892",-3.84530136178755,1.09190468106064e-81
"ENSG00000047346",-1.79394952177814,1.8926296766868e-81
"ENSG00000136944",-2.19164995579321,1.94283628424217e-81
"ENSG00000075886",-4.02808389453426,4.43536738846355e-81
"ENSG00000198650",-5.77872685447551,5.33425645901857e-81
"ENSG00000233041",-5.92737683991183,8.54583820170222e-81
"ENSG00000135346",-7.24982740957221,1.08341976381752e-80
"ENSG00000235687",-4.90041600977845,1.37025653470375e-80
"ENSG00000143878",-1.63764918295961,1.78310658010886e-80
"ENSG00000234918",-4.97842094644339,1.92340513926731e-80
"ENSG00000168589",-2.5504013275326,3.18246445795219e-80
"ENSG00000165695",-1.87534839330993,3.37591299387824e-80
"ENSG00000254164",-4.80227172486383,3.76176838587494e-80
"ENSG00000161031",-4.51433209125912,4.95558843054347e-80
"ENSG00000141294",-2.33878671796713,1.14439422490781e-79
"ENSG00000223813",-2.71748116617827,1.18971938302917e-79
"ENSG00000138696",-4.60665158677851,1.65199836407999e-79
"ENSG00000165863",-4.79706548850607,2.03357944567307e-79
"ENSG00000172771",-2.59268624585313,2.03357944567307e-79
"ENSG00000186910",-4.30312390399616,3.13906838615203e-79
"ENSG00000136457",-4.02067140150977,3.21190789155797e-79
"ENSG00000127663",-1.64317993418322,3.25640887590873e-79
"ENSG00000203697",-3.589373926116,5.52896536905783e-79
"ENSG00000197308",-3.57262695868819,6.41483351013443e-79
"ENSG00000140545",2.25779409296325,7.51435412802488e-79
"ENSG00000145996",1.11976973231692,8.39313156481471e-79
"ENSG00000072858",-2.28700998194864,1.12578048859745e-78
"ENSG00000166509",-7.93101922629171,1.82619927418732e-78
"ENSG00000270930",-4.74174021559787,2.48554888076102e-78
"ENSG00000166106",-3.07418500704068,4.1778328539096e-78
"ENSG00000259793",-3.47127043792817,8.10681721482046e-78
"ENSG00000187045",-3.75616510020913,9.17727740585029e-78
"ENSG00000091138",-4.49991591194889,2.63079144679806e-77
"ENSG00000163491",-3.5042734170242,2.94151338112778e-77
"ENSG00000166006",-7.76996881555831,7.76282915101385e-77
"ENSG00000138131",2.88360959920004,1.0337158983093e-76
"ENSG00000158887",3.14076056053068,1.15913211915986e-76
"ENSG00000183779",-2.53690297658288,1.93977808162983e-76
"ENSG00000165140",-2.14711999151135,2.58697879147987e-76
"ENSG00000160180",-4.14928558643674,2.61504154397567e-76
"ENSG00000243710",-2.51056708675972,3.9497421112437e-76
"ENSG00000109452",-2.19612799349824,6.32430690091996e-76
"ENSG00000187486",-2.2774244352247,7.38872241621365e-76
"ENSG00000075275",-1.96558522277515,1.34567551519557e-75
"ENSG00000160345",-1.99083210550882,1.44474930106449e-75
"ENSG00000197168",-2.19826780412708,2.02458325559736e-75
"ENSG00000234115",-4.38675060959388,2.90714832859419e-75
"ENSG00000113739",-3.36013621103039,3.04217825155083e-75
"ENSG00000260009",-4.58124940641561,3.66154981251239e-75
"ENSG00000139910",-3.6834694523551,4.2484231556042e-75
"ENSG00000108417",-4.4978457217567,5.42726147974131e-75
"ENSG00000007402",-2.53971318067565,8.64515579031963e-75
"ENSG00000112874",-1.58950587812324,1.50005510348975e-74
"ENSG00000136883",-2.91614661541605,1.64319059479827e-74
"ENSG00000204740",-4.98649275871063,1.89552345077335e-74
"ENSG00000198077",-6.33945607957456,6.52709792134619e-74
"ENSG00000148154",-2.0193108332313,6.57900196061603e-74
"ENSG00000169347",-4.8605737614793,8.89158708385153e-74
"ENSG00000214100",-4.70106514543905,1.17807159970814e-73
"ENSG00000101222",-2.6997691411465,1.27405515083722e-73
"ENSG00000050438",-2.65842447943332,1.4695200595076e-73
"ENSG00000285587",-4.38314317703833,2.72590940135895e-73
"ENSG00000265766",-6.4740475002782,5.17289473489282e-73
"ENSG00000214530",-2.2084118028735,9.89720729002181e-73
"ENSG00000029725",-1.58353873244569,1.27305108346735e-72
"ENSG00000196090",-3.73535983661425,1.4187314868093e-72
"ENSG00000203709",-2.93300136670859,1.45109048430096e-72
"ENSG00000162543",-2.4524096908669,2.99273842501448e-72
"ENSG00000251169",-3.45663412859824,5.27964194179822e-72
"ENSG00000175302",-4.95022330068007,8.08824601515833e-72
"ENSG00000115556",-2.88755372860314,1.12213537984825e-71
"ENSG00000174132",-1.29623856505246,1.37507333961783e-71
"ENSG00000196405",-1.95828352681285,2.61353600715928e-71
"ENSG00000156966",2.34003134883625,3.46565064607742e-71
"ENSG00000237940",-4.02166036472061,4.89744445485913e-71
"ENSG00000178467",-1.50535489923823,7.56563102090798e-71
"ENSG00000204049",-3.88963016147541,8.49191359740065e-71
"ENSG00000164331",-1.00689067459832,1.74693224427892e-70
"ENSG00000102362",-2.1372985946966,2.2748996766008e-70
"ENSG00000260710",-3.50811766368699,3.28350705911486e-70
"ENSG00000230552",-3.76414115249709,4.31416675284615e-70
"ENSG00000152049",-3.22951348460456,6.4931947679864e-70
"ENSG00000132681",-3.57036654269243,7.84172645673876e-70
"ENSG00000243064",-5.69212636062587,1.03342185320867e-69
"ENSG00000006071",-3.61016631815294,1.10207633264213e-69
"ENSG00000143473",-3.24036286693696,1.10207633264213e-69
"ENSG00000245750",-2.97281339927471,1.52361475060593e-69
"ENSG00000237442",-5.92114487756704,1.85773031937358e-69
"ENSG00000196177",-2.12283541748554,2.22697040002244e-69
"ENSG00000277010",-4.742165693276,3.2556387085734e-69
"ENSG00000147642",-2.19177785416362,4.98472149353321e-69
"ENSG00000218416",-3.38392178051104,5.73921596311746e-69
"ENSG00000135912",1.5264642129999,7.59555261494701e-69
"ENSG00000166959",-4.98939641506678,8.05030194216642e-69
"ENSG00000236264",3.24376176096732,8.90476939321068e-69
"ENSG00000101441",-4.99135166680546,9.9890342777141e-69
"ENSG00000204677",-2.69673271611043,1.09873729670788e-68
"ENSG00000235978",-3.8107206270994,1.40536229413259e-68
"ENSG00000230873",-3.38436399730797,1.48090347316486e-68
"ENSG00000237970",-4.94624354022505,1.5059143172741e-68
"ENSG00000147041",-3.48434918481871,1.73247131643985e-68
"ENSG00000163072",-2.14693937890791,2.71754977536719e-68
"ENSG00000263011",-2.16605989182816,3.31503694320545e-68
"ENSG00000162891",-4.27345749220597,3.75654469735078e-68
"ENSG00000200385",-3.42687740154332,4.59145865995734e-68
"ENSG00000235049",-3.14348549181192,6.70080181640679e-68
"ENSG00000134873",4.37430188079657,7.63673249928461e-68
"ENSG00000126010",-4.06485276539479,7.66284519512115e-68
"ENSG00000284395",-3.6665093274345,7.77937032741895e-68
"ENSG00000041353",-1.87398403356982,9.2386527302021e-68
"ENSG00000100095",-4.34510741115435,1.12564662695732e-67
"ENSG00000170959",-3.13149347428324,1.25931661676345e-67
"ENSG00000253973",-3.97902403750939,3.68048643713964e-67
"ENSG00000102316",-1.68076436496855,4.00670523948094e-67
"ENSG00000067715",-3.9024560832593,4.46712180171264e-67
"ENSG00000164237",-1.88782598983339,7.95364764601783e-67
"ENSG00000285043",-1.85848496544953,9.2342178643678e-67
"ENSG00000164125",-2.12547749071955,1.02049365959448e-66
"ENSG00000163697",-1.40945435679451,1.98291083962617e-66
"ENSG00000137502",-2.15959117700912,3.15302482299011e-66
"ENSG00000141668",-5.37598821285191,4.58476172004333e-66
"ENSG00000154654",-2.98188677702752,5.10984256205221e-66
"ENSG00000122711",-4.78474700718104,7.45955881193713e-66
"ENSG00000235123",-6.02171270356955,7.65063412447961e-66
"ENSG00000134215",-1.98040399945966,2.50108278548215e-65
"ENSG00000204385",-2.76586571212994,2.81804947330407e-65
"ENSG00000084444",-2.56464517709083,3.11699658143872e-65
"ENSG00000160188",-2.14751438157605,3.59903782130616e-65
"ENSG00000165533",-1.07117886189189,4.63157072029663e-65
"ENSG00000111328",1.3195458152365,5.39433247707459e-65
"ENSG00000253959",-4.33783437215738,5.68657502918363e-65
"ENSG00000105889",2.56035933631431,6.73884974814725e-65
"ENSG00000124126",-2.00231506354585,1.05543307329713e-64
"ENSG00000268601",1.92908436361729,1.22410219532918e-64
"ENSG00000119636",-1.45816892365737,1.25971098229114e-64
"ENSG00000100583",-1.89684632381239,1.71785928596746e-64
"ENSG00000233006",-1.54128488089978,1.74491760186975e-64
"ENSG00000116191",-1.72004811767086,1.77507144890279e-64
"ENSG00000140511",2.35105470421453,3.17330055297056e-64
"ENSG00000118307",-2.10748435185697,4.40519986972989e-64
"ENSG00000150551",2.13140713835157,7.04035965127242e-64
"ENSG00000109501",-1.33746546006122,7.78585472479348e-64
"ENSG00000167646",-2.4847465001888,1.02163742853842e-63
"ENSG00000287226",-4.69772278193669,1.05837072211036e-63
"ENSG00000218549",-6.88752126065077,1.38118803776265e-63
"ENSG00000057593",-3.27416707324048,1.77179000007486e-63
"ENSG00000226835",-3.25419871269236,2.78439189452204e-63
"ENSG00000172465",-1.83846295922554,2.81069354984988e-63
"ENSG00000007516",-2.65851413970761,3.89941695535543e-63
"ENSG00000260284",-3.90655468972981,4.53604705781297e-63
"ENSG00000117472",-2.94412943933007,8.09902032403344e-63
"ENSG00000272335",-2.45128981619332,1.08580457690456e-62
"ENSG00000174788",-2.7504148974976,1.18320880527927e-62
"ENSG00000213538",-3.35614678508227,1.37928017124791e-62
"ENSG00000124097",2.22123491938259,1.41718018382801e-62
"ENSG00000090539",-2.55348010329211,2.83831372746151e-62
"ENSG00000198863",-1.1031544145847,3.93594785192976e-62
"ENSG00000073792",2.89146986025846,4.19996623231528e-62
"ENSG00000187889",-3.07842992645834,4.96027098807408e-62
"ENSG00000172425",-2.76021780940674,5.6625919583386e-62
"ENSG00000154099",-2.37139674382328,6.1220395951473e-62
"ENSG00000269933",-3.14440163507684,6.88241126526585e-62
"ENSG00000070193",-4.03925175639034,8.01777782717863e-62
"ENSG00000124171",-2.38736921114045,1.19821968096465e-61
"ENSG00000105695",-3.41006666582818,1.48481066490171e-61
"ENSG00000165078",-4.48806627205176,1.56706856744947e-61
"ENSG00000130612",-4.45903900110616,1.66685864985081e-61
"ENSG00000287262",-3.16356656630722,1.75631994276482e-61
"ENSG00000166446",-1.70353041216168,2.15319475574341e-61
"ENSG00000124784",0.99788409858199,2.27234558226886e-61
"ENSG00000250418",-8.83059831301049,3.1211818219401e-61
"ENSG00000081923",-1.43056659406811,5.0206297373826e-61
"ENSG00000227038",-2.40043227403922,5.78435734587576e-61
"ENSG00000131096",-3.62287962951149,5.7940646895435e-61
"ENSG00000167861",-1.70544685874678,5.87756689546748e-61
"ENSG00000112280",4.93206550546242,8.27450802563982e-61
"ENSG00000065978",1.23771296952547,1.13739262235254e-60
"ENSG00000196932",-2.83585753033914,1.14228142661212e-60
"ENSG00000176407",0.713264926272131,1.60893539888929e-60
"ENSG00000173210",-2.0762455899964,1.88110656309873e-60
"ENSG00000176678",2.01659115501618,2.16623945478171e-60
"ENSG00000124795",1.21724536584363,2.74868931217854e-60
"ENSG00000149948",2.92541223689726,3.58295107312621e-60
"ENSG00000131844",-1.56468114287049,3.91154211988901e-60
"ENSG00000268204",-2.16802211289624,4.7200550452884e-60
"ENSG00000114654",-2.4635554529519,5.55827516723752e-60
"ENSG00000258387",-5.44705700617682,5.91576439405014e-60
"ENSG00000100139",1.31768294712713,1.00149683002489e-59
"ENSG00000101098",-3.71255086720918,1.27159976435432e-59
"ENSG00000188869",-3.72824148486402,1.27159976435432e-59
"ENSG00000230314",-3.80165966750558,1.29138022354019e-59
"ENSG00000186458",-3.82845073608581,1.47875347447616e-59
"ENSG00000189157",-1.84539541088213,1.58733705813985e-59
"ENSG00000141977",-2.89718766292055,1.99317723048938e-59
"ENSG00000237487",-4.03107121442355,2.48060016728662e-59
"ENSG00000165731",-3.00100647230719,3.53957093756518e-59
"ENSG00000160191",2.03834697816258,4.25271068838998e-59
"ENSG00000175985",-2.90154099498213,4.646410302434e-59
"ENSG00000164893",-3.21429670649286,5.28949842411143e-59
"ENSG00000169891",-2.24554111101583,5.69424930131687e-59
