"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","evidence_codes","intersection","GeneRatio","source_label"
"query_1",TRUE,1.50105361580143e-21,680,1459,187,0.128169979437971,0.275,"REAC:R-HSA-1640170","REAC","Cell Cycle",11056,337,"REAC:0000000","REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC","ENSG00000117650,ENSG00000127564,ENSG00000175063,ENSG00000158402,ENSG00000088325,ENSG00000143228,ENSG00000152253,ENSG00000123485,ENSG00000170312,ENSG00000112984,ENSG00000117724,ENSG00000166851,ENSG00000169679,ENSG00000072571,ENSG00000161888,ENSG00000171848,ENSG00000164611,ENSG00000134057,ENSG00000174371,ENSG00000087586,ENSG00000142945,ENSG00000122952,ENSG00000154839,ENSG00000080986,ENSG00000134690,ENSG00000167900,ENSG00000129810,ENSG00000146670,ENSG00000117399,ENSG00000089685,ENSG00000157456,ENSG00000131747,ENSG00000186871,ENSG00000111206,ENSG00000156970,ENSG00000137812,ENSG00000075218,ENSG00000137807,ENSG00000113368,ENSG00000109805,ENSG00000092853,ENSG00000051180,ENSG00000178999,ENSG00000121152,ENSG00000175643,ENSG00000101003,ENSG00000101057,ENSG00000100162,ENSG00000135476,ENSG00000145386,ENSG00000115163,ENSG00000171320,ENSG00000151725,ENSG00000093009,ENSG00000138778,ENSG00000278828,ENSG00000101412,ENSG00000132182,ENSG00000065328,ENSG00000108106,ENSG00000121621,ENSG00000164109,ENSG00000094804,ENSG00000104147,ENSG00000102384,ENSG00000158373,ENSG00000091651,ENSG00000167513,ENSG00000123219,ENSG00000007968,ENSG00000274641,ENSG00000188486,ENSG00000132646,ENSG00000100479,ENSG00000168496,ENSG00000131153,ENSG00000274290,ENSG00000175305,ENSG00000142731,ENSG00000085840,ENSG00000136492,ENSG00000104738,ENSG00000120334,ENSG00000138346,ENSG00000167553,ENSG00000164045,ENSG00000197903,ENSG00000149554,ENSG00000138092,ENSG00000197153,ENSG00000275713,ENSG00000197299,ENSG00000174442,ENSG00000179051,ENSG00000127586,ENSG00000276180,ENSG00000276966,ENSG00000196890,ENSG00000140451,ENSG00000163535,ENSG00000178966,ENSG00000097046,ENSG00000105173,ENSG00000175792,ENSG00000163882,ENSG00000000460,ENSG00000277224,ENSG00000277157,ENSG00000270882,ENSG00000258947,ENSG00000180596,ENSG00000101213,ENSG00000154473,ENSG00000049541,ENSG00000159055,ENSG00000176890,ENSG00000006634,ENSG00000149636,ENSG00000124635,ENSG00000105486,ENSG00000073111,ENSG00000180198,ENSG00000147536,ENSG00000286522,ENSG00000139618,ENSG00000169689,ENSG00000131462,ENSG00000158406,ENSG00000184678,ENSG00000138376,ENSG00000100911,ENSG00000147889,ENSG00000113810,ENSG00000163918,ENSG00000184260,ENSG00000146918,ENSG00000153044,ENSG00000184445,ENSG00000273542,ENSG00000136982,ENSG00000075886,ENSG00000273983,ENSG00000273802,ENSG00000185130,ENSG00000180573,ENSG00000276368,ENSG00000197238,ENSG00000014138,ENSG00000076003,ENSG00000129355,ENSG00000188312,ENSG00000175279,ENSG00000166451,ENSG00000287080,ENSG00000164362,ENSG00000261456,ENSG00000133740,ENSG00000141552,ENSG00000173272,ENSG00000233822,ENSG00000183814,ENSG00000217442,ENSG00000203760,ENSG00000152086,ENSG00000277791,ENSG00000277075,ENSG00000164754,ENSG00000012048,ENSG00000152082,ENSG00000108344,ENSG00000077935,ENSG00000101224,ENSG00000274750,ENSG00000277775,ENSG00000197061,ENSG00000196074,ENSG00000243910,ENSG00000197837,ENSG00000183598,ENSG00000110092,ENSG00000246705,ENSG00000104833,ENSG00000178462,ENSG00000100918,ENSG00000275714,ENSG00000173213,ENSG00000133863",0.0441662730278696,"Reactome"
"query_1",TRUE,3.68073894742892e-21,549,1459,160,0.109664153529815,0.29143897996357,"REAC:R-HSA-69278","REAC","Cell Cycle, Mitotic",11056,339,"REAC:R-HSA-1640170","REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC","ENSG00000117650,ENSG00000127564,ENSG00000175063,ENSG00000158402,ENSG00000088325,ENSG00000143228,ENSG00000152253,ENSG00000170312,ENSG00000112984,ENSG00000117724,ENSG00000166851,ENSG00000169679,ENSG00000072571,ENSG00000161888,ENSG00000171848,ENSG00000164611,ENSG00000134057,ENSG00000087586,ENSG00000142945,ENSG00000122952,ENSG00000154839,ENSG00000080986,ENSG00000134690,ENSG00000167900,ENSG00000129810,ENSG00000146670,ENSG00000117399,ENSG00000089685,ENSG00000157456,ENSG00000131747,ENSG00000186871,ENSG00000111206,ENSG00000156970,ENSG00000137812,ENSG00000075218,ENSG00000137807,ENSG00000113368,ENSG00000109805,ENSG00000178999,ENSG00000121152,ENSG00000101003,ENSG00000101057,ENSG00000100162,ENSG00000135476,ENSG00000145386,ENSG00000115163,ENSG00000171320,ENSG00000151725,ENSG00000093009,ENSG00000138778,ENSG00000278828,ENSG00000101412,ENSG00000132182,ENSG00000065328,ENSG00000108106,ENSG00000121621,ENSG00000164109,ENSG00000094804,ENSG00000102384,ENSG00000158373,ENSG00000091651,ENSG00000167513,ENSG00000123219,ENSG00000007968,ENSG00000274641,ENSG00000188486,ENSG00000132646,ENSG00000100479,ENSG00000168496,ENSG00000131153,ENSG00000274290,ENSG00000175305,ENSG00000142731,ENSG00000085840,ENSG00000104738,ENSG00000120334,ENSG00000138346,ENSG00000167553,ENSG00000164045,ENSG00000197903,ENSG00000138092,ENSG00000197153,ENSG00000275713,ENSG00000174442,ENSG00000179051,ENSG00000276180,ENSG00000276966,ENSG00000196890,ENSG00000163535,ENSG00000097046,ENSG00000105173,ENSG00000000460,ENSG00000277224,ENSG00000277157,ENSG00000270882,ENSG00000258947,ENSG00000180596,ENSG00000101213,ENSG00000154473,ENSG00000049541,ENSG00000176890,ENSG00000006634,ENSG00000149636,ENSG00000124635,ENSG00000105486,ENSG00000073111,ENSG00000180198,ENSG00000147536,ENSG00000286522,ENSG00000131462,ENSG00000158406,ENSG00000184678,ENSG00000100911,ENSG00000147889,ENSG00000113810,ENSG00000163918,ENSG00000184260,ENSG00000146918,ENSG00000153044,ENSG00000184445,ENSG00000273542,ENSG00000075886,ENSG00000273983,ENSG00000273802,ENSG00000185130,ENSG00000180573,ENSG00000276368,ENSG00000197238,ENSG00000014138,ENSG00000076003,ENSG00000129355,ENSG00000188312,ENSG00000175279,ENSG00000166451,ENSG00000287080,ENSG00000261456,ENSG00000133740,ENSG00000141552,ENSG00000173272,ENSG00000233822,ENSG00000183814,ENSG00000152086,ENSG00000277791,ENSG00000277075,ENSG00000164754,ENSG00000152082,ENSG00000108344,ENSG00000101224,ENSG00000274750,ENSG00000277775,ENSG00000197061,ENSG00000243910,ENSG00000197837,ENSG00000183598,ENSG00000110092,ENSG00000246705,ENSG00000104833,ENSG00000178462,ENSG00000275714,ENSG00000173213",0.0377893245158243,"Reactome"
"query_1",TRUE,7.11590148515522e-21,72,1459,46,0.0315284441398218,0.638888888888889,"REAC:R-HSA-606279","REAC","Deposition of new CENPA-containing nucleosomes at the centromere",11056,758,"REAC:R-HSA-774815","REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC","ENSG00000123485,ENSG00000137812,ENSG00000100162,ENSG00000115163,ENSG00000151725,ENSG00000104147,ENSG00000102384,ENSG00000158373,ENSG00000123219,ENSG00000274641,ENSG00000188486,ENSG00000274290,ENSG00000120334,ENSG00000197903,ENSG00000138092,ENSG00000275713,ENSG00000276180,ENSG00000276966,ENSG00000196890,ENSG00000175792,ENSG00000277224,ENSG00000277157,ENSG00000270882,ENSG00000180596,ENSG00000159055,ENSG00000124635,ENSG00000169689,ENSG00000158406,ENSG00000184678,ENSG00000184260,ENSG00000153044,ENSG00000273542,ENSG00000273802,ENSG00000185130,ENSG00000180573,ENSG00000276368,ENSG00000197238,ENSG00000188312,ENSG00000175279,ENSG00000166451,ENSG00000233822,ENSG00000203760,ENSG00000277075,ENSG00000197061,ENSG00000197837,ENSG00000246705",0.0108644307982995,"Reactome"
"query_1",TRUE,7.11590148515522e-21,72,1459,46,0.0315284441398218,0.638888888888889,"REAC:R-HSA-774815","REAC","Nucleosome assembly",11056,1686,"REAC:R-HSA-73886","REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC","ENSG00000123485,ENSG00000137812,ENSG00000100162,ENSG00000115163,ENSG00000151725,ENSG00000104147,ENSG00000102384,ENSG00000158373,ENSG00000123219,ENSG00000274641,ENSG00000188486,ENSG00000274290,ENSG00000120334,ENSG00000197903,ENSG00000138092,ENSG00000275713,ENSG00000276180,ENSG00000276966,ENSG00000196890,ENSG00000175792,ENSG00000277224,ENSG00000277157,ENSG00000270882,ENSG00000180596,ENSG00000159055,ENSG00000124635,ENSG00000169689,ENSG00000158406,ENSG00000184678,ENSG00000184260,ENSG00000153044,ENSG00000273542,ENSG00000273802,ENSG00000185130,ENSG00000180573,ENSG00000276368,ENSG00000197238,ENSG00000188312,ENSG00000175279,ENSG00000166451,ENSG00000233822,ENSG00000203760,ENSG00000277075,ENSG00000197061,ENSG00000197837,ENSG00000246705",0.0108644307982995,"Reactome"
"query_1",TRUE,1.25312302857348e-18,289,1459,100,0.0685400959561343,0.346020761245675,"REAC:R-HSA-69620","REAC","Cell Cycle Checkpoints",11056,338,"REAC:R-HSA-1640170","REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC","ENSG00000127564,ENSG00000175063,ENSG00000158402,ENSG00000143228,ENSG00000152253,ENSG00000170312,ENSG00000117724,ENSG00000166851,ENSG00000169679,ENSG00000161888,ENSG00000134057,ENSG00000174371,ENSG00000142945,ENSG00000122952,ENSG00000154839,ENSG00000080986,ENSG00000134690,ENSG00000129810,ENSG00000117399,ENSG00000089685,ENSG00000157456,ENSG00000186871,ENSG00000156970,ENSG00000137812,ENSG00000075218,ENSG00000092853,ENSG00000178999,ENSG00000175643,ENSG00000100162,ENSG00000145386,ENSG00000115163,ENSG00000151725,ENSG00000093009,ENSG00000138778,ENSG00000065328,ENSG00000108106,ENSG00000121621,ENSG00000164109,ENSG00000094804,ENSG00000102384,ENSG00000158373,ENSG00000091651,ENSG00000123219,ENSG00000274641,ENSG00000188486,ENSG00000274290,ENSG00000175305,ENSG00000085840,ENSG00000136492,ENSG00000104738,ENSG00000120334,ENSG00000138346,ENSG00000164045,ENSG00000197903,ENSG00000149554,ENSG00000138092,ENSG00000275713,ENSG00000197299,ENSG00000174442,ENSG00000179051,ENSG00000276180,ENSG00000276966,ENSG00000196890,ENSG00000163535,ENSG00000178966,ENSG00000097046,ENSG00000105173,ENSG00000277224,ENSG00000277157,ENSG00000270882,ENSG00000180596,ENSG00000154473,ENSG00000049541,ENSG00000006634,ENSG00000149636,ENSG00000124635,ENSG00000073111,ENSG00000158406,ENSG00000184678,ENSG00000138376,ENSG00000100911,ENSG00000147889,ENSG00000163918,ENSG00000153044,ENSG00000184445,ENSG00000273542,ENSG00000273802,ENSG00000185130,ENSG00000197238,ENSG00000076003,ENSG00000188312,ENSG00000175279,ENSG00000166451,ENSG00000141552,ENSG00000233822,ENSG00000277791,ENSG00000012048,ENSG00000108344,ENSG00000197061,ENSG00000197837",0.0236183278223902,"Reactome"
"query_1",TRUE,1.24429564746004e-17,64,1459,40,0.0274160383824537,0.625,"REAC:R-HSA-5334118","REAC","DNA methylation",11056,467,"REAC:R-HSA-212165","REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC","ENSG00000276043,ENSG00000278828,ENSG00000158373,ENSG00000274641,ENSG00000188486,ENSG00000274290,ENSG00000197903,ENSG00000197153,ENSG00000275713,ENSG00000276180,ENSG00000276966,ENSG00000196890,ENSG00000277224,ENSG00000277157,ENSG00000270882,ENSG00000180596,ENSG00000124635,ENSG00000286522,ENSG00000158406,ENSG00000184678,ENSG00000130816,ENSG00000184260,ENSG00000273542,ENSG00000273983,ENSG00000088305,ENSG00000273802,ENSG00000185130,ENSG00000180573,ENSG00000276368,ENSG00000197238,ENSG00000287080,ENSG00000233822,ENSG00000277075,ENSG00000274750,ENSG00000277775,ENSG00000197061,ENSG00000197837,ENSG00000183598,ENSG00000246705,ENSG00000275714",0.00944733112895607,"Reactome"
"query_1",TRUE,5.17858539240659e-17,72,1459,42,0.0287868403015764,0.583333333333333,"REAC:R-HSA-2299718","REAC","Condensation of Prophase Chromosomes",11056,411,"REAC:R-HSA-68875","REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC","ENSG00000170312,ENSG00000166851,ENSG00000134057,ENSG00000278828,ENSG00000158373,ENSG00000274641,ENSG00000188486,ENSG00000274290,ENSG00000197903,ENSG00000197153,ENSG00000275713,ENSG00000276180,ENSG00000276966,ENSG00000196890,ENSG00000277224,ENSG00000277157,ENSG00000270882,ENSG00000180596,ENSG00000124635,ENSG00000286522,ENSG00000158406,ENSG00000184678,ENSG00000113810,ENSG00000184260,ENSG00000146918,ENSG00000273542,ENSG00000273983,ENSG00000273802,ENSG00000185130,ENSG00000180573,ENSG00000276368,ENSG00000197238,ENSG00000287080,ENSG00000233822,ENSG00000277075,ENSG00000274750,ENSG00000277775,ENSG00000197061,ENSG00000197837,ENSG00000183598,ENSG00000246705,ENSG00000275714",0.00991969768540387,"Reactome"
"query_1",TRUE,2.80106016325024e-16,138,1459,60,0.0411240575736806,0.434782608695652,"REAC:R-HSA-73886","REAC","Chromosome Maintenance",11056,373,"REAC:R-HSA-1640170","REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC","ENSG00000123485,ENSG00000137812,ENSG00000100162,ENSG00000145386,ENSG00000115163,ENSG00000151725,ENSG00000104147,ENSG00000102384,ENSG00000158373,ENSG00000123219,ENSG00000274641,ENSG00000188486,ENSG00000132646,ENSG00000168496,ENSG00000274290,ENSG00000120334,ENSG00000138346,ENSG00000197903,ENSG00000138092,ENSG00000275713,ENSG00000197299,ENSG00000127586,ENSG00000276180,ENSG00000276966,ENSG00000196890,ENSG00000140451,ENSG00000175792,ENSG00000163882,ENSG00000277224,ENSG00000277157,ENSG00000270882,ENSG00000180596,ENSG00000049541,ENSG00000159055,ENSG00000124635,ENSG00000105486,ENSG00000169689,ENSG00000158406,ENSG00000184678,ENSG00000163918,ENSG00000184260,ENSG00000153044,ENSG00000273542,ENSG00000136982,ENSG00000273802,ENSG00000185130,ENSG00000180573,ENSG00000276368,ENSG00000197238,ENSG00000014138,ENSG00000188312,ENSG00000175279,ENSG00000166451,ENSG00000164362,ENSG00000233822,ENSG00000203760,ENSG00000277075,ENSG00000197061,ENSG00000197837,ENSG00000246705",0.0141709966934341,"Reactome"
"query_1",TRUE,3.70652361421513e-16,72,1459,41,0.0281014393420151,0.569444444444444,"REAC:R-HSA-9710421","REAC","Defective pyroptosis",11056,722,"REAC:R-HSA-9645723","REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC","ENSG00000106462,ENSG00000278828,ENSG00000158373,ENSG00000274641,ENSG00000188486,ENSG00000274290,ENSG00000197903,ENSG00000197153,ENSG00000275713,ENSG00000276180,ENSG00000276966,ENSG00000196890,ENSG00000277224,ENSG00000277157,ENSG00000270882,ENSG00000180596,ENSG00000124635,ENSG00000286522,ENSG00000158406,ENSG00000184678,ENSG00000130816,ENSG00000184260,ENSG00000273542,ENSG00000273983,ENSG00000088305,ENSG00000273802,ENSG00000185130,ENSG00000180573,ENSG00000276368,ENSG00000197238,ENSG00000014138,ENSG00000287080,ENSG00000233822,ENSG00000277075,ENSG00000274750,ENSG00000277775,ENSG00000197061,ENSG00000197837,ENSG00000183598,ENSG00000246705,ENSG00000275714",0.00968351440717997,"Reactome"
"query_1",TRUE,4.39548838144766e-16,318,1459,101,0.0692254969156957,0.317610062893082,"REAC:R-HSA-195258","REAC","RHO GTPase Effectors",11056,1919,"REAC:R-HSA-194315","REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC,REAC","ENSG00000183856,ENSG00000158402,ENSG00000143228,ENSG00000152253,ENSG00000117724,ENSG00000166851,ENSG00000169679,ENSG00000161888,ENSG00000142945,ENSG00000122952,ENSG00000154839,ENSG00000080986,ENSG00000134690,ENSG00000118193,ENSG00000129810,ENSG00000117399,ENSG00000089685,ENSG00000186871,ENSG00000156970,ENSG00000137812,ENSG00000178999,ENSG00000100162,ENSG00000115163,ENSG00000151725,ENSG00000138778,ENSG00000278828,ENSG00000121621,ENSG00000122966,ENSG00000164109,ENSG00000102384,ENSG00000158373,ENSG00000123219,ENSG00000158106,ENSG00000274641,ENSG00000188486,ENSG00000139734,ENSG00000274290,ENSG00000120334,ENSG00000167553,ENSG00000197903,ENSG00000138092,ENSG00000197153,ENSG00000275713,ENSG00000174442,ENSG00000179051,ENSG00000276180,ENSG00000276966,ENSG00000196890,ENSG00000163535,ENSG00000277224,ENSG00000277157,ENSG00000270882,ENSG00000258947,ENSG00000180596,ENSG00000172757,ENSG00000154473,ENSG00000149636,ENSG00000124635,ENSG00000286522,ENSG00000106683,ENSG00000114993,ENSG00000158406,ENSG00000184678,ENSG00000184260,ENSG00000153044,ENSG00000184445,ENSG00000174996,ENSG00000273542,ENSG00000075886,ENSG00000273983,ENSG00000273802,ENSG00000185130,ENSG00000180573,ENSG00000276368,ENSG00000197238,ENSG00000188312,ENSG00000175279,ENSG00000166451,ENSG00000287080,ENSG00000261456,ENSG00000233822,ENSG00000196405,ENSG00000152086,ENSG00000277075,ENSG00000173156,ENSG00000198901,ENSG00000055163,ENSG00000274750,ENSG00000277775,ENSG00000007952,ENSG00000197061,ENSG00000243910,ENSG00000197837,ENSG00000183598,ENSG00000143546,ENSG00000163220,ENSG00000246705,ENSG00000104833,ENSG00000178462,ENSG00000275714,ENSG00000173213",0.0238545111006141,"Reactome"
