"miRNA","mRNA","correlation"
"hsa-mir-449b","ENSG00000164287",0.860358498312126
"hsa-mir-449a","ENSG00000164287",0.857552520095613
"hsa-mir-196a-2","ENSG00000180818",0.819682479134302
"hsa-mir-196a-1","ENSG00000180818",0.814873338530994
"hsa-mir-105-2","ENSG00000011677",0.789349528381294
"hsa-mir-767","ENSG00000011677",0.781659551732654
"hsa-mir-105-1","ENSG00000011677",0.781643016242037
"hsa-mir-224","ENSG00000102287",0.764953320140814
"hsa-mir-449a","ENSG00000234602",0.763474928018425
"hsa-mir-196a-2","ENSG00000123388",0.76288915645823
"hsa-mir-196a-1","ENSG00000123388",0.7590609568277
"hsa-mir-105-2","ENSG00000197172",0.757677831277889
"hsa-mir-767","ENSG00000197172",0.755007463779663
"hsa-mir-105-1","ENSG00000197172",0.751895685515116
"hsa-mir-449a","ENSG00000152669",0.721978948368474
"hsa-mir-449b","ENSG00000129654",0.719255912515921
"hsa-mir-105-2","ENSG00000221867",0.717341365318239
"hsa-mir-449a","ENSG00000129654",0.71726896689227
"hsa-mir-449b","ENSG00000234602",0.716177184471048
"hsa-mir-449b","ENSG00000136918",0.709011940542589
"hsa-mir-105-1","ENSG00000221867",0.708496737229358
"hsa-mir-767","ENSG00000221867",0.704155698518504
"hsa-mir-449b","ENSG00000228723",0.696173663477383
"hsa-mir-449b","ENSG00000169064",0.693619892435774
"hsa-mir-452","ENSG00000102287",0.692647602539478
"hsa-mir-190b","ENSG00000173467",0.677640279042857
"hsa-mir-196a-2","ENSG00000228630",0.677247491177263
"hsa-mir-196a-1","ENSG00000228630",0.674732651766472
"hsa-mir-449a","ENSG00000136918",0.661274799123242
"hsa-mir-449a","ENSG00000228723",0.661055068798547
"hsa-mir-449b","ENSG00000124237",0.655948599938742
"hsa-mir-449b","ENSG00000173627",0.655925631015765
"hsa-mir-150","ENSG00000181847",0.654848532103964
"hsa-mir-449b","ENSG00000243910",0.654375395241626
"hsa-mir-449b","ENSG00000179902",0.653728423103432
"hsa-mir-577","ENSG00000176532",-0.651781351612063
"hsa-mir-934","ENSG00000258910",0.651460066228215
"hsa-mir-149","ENSG00000218416",0.650499772351625
"hsa-mir-577","ENSG00000280916",0.650491663682822
"hsa-mir-934","ENSG00000280916",0.647666621170157
"hsa-mir-449b","ENSG00000157330",0.645488535650873
"hsa-mir-449b","ENSG00000152669",0.644559174546693
"hsa-mir-196a-2","ENSG00000251151",0.643114865038196
"hsa-mir-449a","ENSG00000169064",0.640081783900591
"hsa-mir-196a-1","ENSG00000251151",0.640045992794829
"hsa-mir-10a","ENSG00000233101",0.639420041696557
"hsa-mir-577","ENSG00000258910",0.636314896448539
"hsa-mir-577","ENSG00000106541",-0.635797870085566
"hsa-mir-449a","ENSG00000124237",0.634823969429268
"hsa-mir-577","ENSG00000156219",0.634705984501007
"hsa-mir-934","ENSG00000163064",0.633662592219295
"hsa-mir-934","ENSG00000176532",-0.631999501833907
"hsa-mir-190b","ENSG00000176532",0.630651137131986
"hsa-mir-105-2","ENSG00000198930",0.627239263717113
"hsa-mir-934","ENSG00000106541",-0.626653973599374
"hsa-mir-449b","ENSG00000159625",0.624633231193646
"hsa-mir-196a-2","ENSG00000123364",0.62413527771904
"hsa-mir-105-2","ENSG00000213401",0.623157102802706
"hsa-mir-935","ENSG00000130433",0.622733785251766
"hsa-mir-767","ENSG00000198930",0.621599272364659
"hsa-mir-196a-1","ENSG00000123364",0.621352421832981
"hsa-mir-150","ENSG00000113302",0.621106987324736
"hsa-mir-934","ENSG00000109846",0.620443130553619
"hsa-mir-105-1","ENSG00000198930",0.620170533593206
"hsa-mir-934","ENSG00000156219",0.618567238702166
"hsa-mir-449a","ENSG00000179902",0.618268647875947
"hsa-mir-449b","ENSG00000188817",0.616999086123819
"hsa-mir-449a","ENSG00000173627",0.615411701702006
"hsa-mir-105-1","ENSG00000213401",0.614929858435762
"hsa-mir-190b","ENSG00000160180",0.614174905712802
"hsa-mir-767","ENSG00000213401",0.613092447528464
"hsa-mir-150","ENSG00000198624",0.612771374589092
"hsa-mir-449b","ENSG00000186471",0.611998933049105
"hsa-mir-934","ENSG00000204385",-0.61183036412302
"hsa-mir-139","ENSG00000186642",0.609781559858334
"hsa-mir-190b","ENSG00000106541",0.609310298581066
"hsa-mir-150","ENSG00000227507",0.609096733256098
"hsa-mir-190b","ENSG00000204385",0.608847727771739
"hsa-mir-577","ENSG00000143452",0.607119092748854
"hsa-mir-577","ENSG00000204385",-0.605209177392946
"hsa-let-7c","ENSG00000149451",0.604745305383425
"hsa-mir-934","ENSG00000173467",-0.604530825938818
"hsa-mir-449a","ENSG00000243910",0.6044347522583
"hsa-mir-190b","ENSG00000004838",0.60391200549975
"hsa-mir-934","ENSG00000231367",0.602697131357907
"hsa-let-7c","ENSG00000166482",0.602426477264094
"hsa-mir-150","ENSG00000177455",0.602089204176843
"hsa-mir-577","ENSG00000163064",0.601830332999669
"hsa-mir-577","ENSG00000168350",-0.601534630026774
"hsa-mir-9-1","ENSG00000245526",0.600949883975231
"hsa-mir-934","ENSG00000143452",0.600924119935409
"hsa-mir-449a","ENSG00000157330",0.600833437701674
"hsa-mir-9-3","ENSG00000245526",0.600396669272958
"hsa-mir-9-2","ENSG00000245526",0.600218244912815
"hsa-mir-934","ENSG00000166535",0.597784377445468
"hsa-mir-934","ENSG00000204019",0.596542203277914
"hsa-mir-379","ENSG00000166482",0.592872995313221
"hsa-mir-190b","ENSG00000160345",0.592435621681662
"hsa-mir-135b","ENSG00000280916",0.59203321146615
"hsa-mir-577","ENSG00000173467",-0.591666716188784
"hsa-mir-190b","ENSG00000206113",0.591295163680033
"hsa-mir-934","ENSG00000203688",0.588259038049894
"hsa-mir-449a","ENSG00000188817",0.58768660345855
"hsa-mir-190b","ENSG00000168350",0.587416953419726
"hsa-mir-379","ENSG00000149451",0.585755799229461
"hsa-mir-934","ENSG00000088386",0.585063233808479
"hsa-mir-105-2","ENSG00000268916",0.584289683678697
"hsa-mir-190b","ENSG00000280916",-0.583420590009925
"hsa-mir-150","ENSG00000138755",0.582989660086302
"hsa-mir-767","ENSG00000268916",0.582969476263902
"hsa-mir-150","ENSG00000213088",0.582753473665978
"hsa-mir-105-1","ENSG00000268916",0.58266418223736
"hsa-mir-1269a","ENSG00000249413",0.581327798931897
"hsa-mir-99a","ENSG00000166482",0.579589341219599
"hsa-mir-934","ENSG00000254416",0.57884489141119
"hsa-mir-150","ENSG00000100721",0.57739867420056
"hsa-mir-934","ENSG00000158186",0.576661533856518
"hsa-mir-150","ENSG00000266088",0.57637365912096
"hsa-mir-449b","ENSG00000152611",0.576169710927983
"hsa-mir-577","ENSG00000203688",0.576152369290708
"hsa-mir-449a","ENSG00000186471",0.574513558815967
"hsa-mir-577","ENSG00000204019",0.57278582730117
"hsa-mir-99a","ENSG00000149451",0.571881954647287
"hsa-mir-934","ENSG00000136928",0.57145572502767
"hsa-mir-381","ENSG00000149451",0.571377657470187
"hsa-mir-449a","ENSG00000159625",0.567989184848958
"hsa-mir-577","ENSG00000231367",0.567238300767652
"hsa-mir-577","ENSG00000257271",0.566712330328438
"hsa-mir-934","ENSG00000104332",0.565880193532854
"hsa-mir-135b","ENSG00000258910",0.565586816489837
"hsa-mir-449a","ENSG00000152611",0.56502060157939
"hsa-mir-190b","ENSG00000108176",0.564055225358501
"hsa-mir-577","ENSG00000166535",0.563721838688578
"hsa-mir-758","ENSG00000149451",0.563704953968387
"hsa-mir-190b","ENSG00000160182",0.562973711694928
"hsa-mir-449b","ENSG00000258752",0.561434087445229
"hsa-mir-934","ENSG00000160180",-0.560757699613809
"hsa-mir-577","ENSG00000160180",-0.560392149211402
"hsa-mir-934","ENSG00000168350",-0.558755680095085
"hsa-mir-758","ENSG00000166482",0.558596453112085
"hsa-mir-190b","ENSG00000166535",-0.5578815491152
"hsa-mir-150","ENSG00000163687",0.557188293167773
"hsa-mir-135b","ENSG00000176532",-0.556120408082498
"hsa-mir-410","ENSG00000149451",0.556085920109115
"hsa-mir-934","ENSG00000231768",0.555405170079688
"hsa-mir-934","ENSG00000026559",0.555069635489506
"hsa-mir-379","ENSG00000172935",0.553471722037123
"hsa-mir-150","ENSG00000078596",0.552636656700076
"hsa-mir-432","ENSG00000149451",0.552512446133207
"hsa-mir-190b","ENSG00000227036",-0.551970531583078
"hsa-mir-934","ENSG00000160307",0.551335448650125
"hsa-mir-934","ENSG00000108176",-0.550028102464541
"hsa-mir-150","ENSG00000180549",0.548737320976102
"hsa-mir-934","ENSG00000150667",-0.548369604665133
"hsa-mir-135b","ENSG00000204385",-0.547915323680091
"hsa-mir-934","ENSG00000205426",0.547740376789087
"hsa-mir-190b","ENSG00000197308",0.547544030956811
"hsa-mir-5683","ENSG00000213088",0.547425116330716
"hsa-mir-381","ENSG00000166482",0.547012128369695
"hsa-mir-934","ENSG00000257271",0.546924187738081
"hsa-mir-135b","ENSG00000156219",0.546783669690203
"hsa-mir-150","ENSG00000049768",0.546718689986881
"hsa-mir-150","ENSG00000154175",0.546633585442131
"hsa-mir-934","ENSG00000102854",0.546628266254755
"hsa-mir-577","ENSG00000254416",0.546377257977746
"hsa-mir-577","ENSG00000105173",0.546333665626695
"hsa-mir-150","ENSG00000173208",0.545801096062687
"hsa-mir-190b","ENSG00000267795",0.544357112085042
"hsa-mir-889","ENSG00000149451",0.543132696833073
"hsa-mir-190b","ENSG00000105707",0.541944957282361
"hsa-mir-100","ENSG00000166482",0.541771550419916
"hsa-mir-190b","ENSG00000162078",0.541605375619945
"hsa-mir-100","ENSG00000149451",0.540855592404756
"hsa-mir-577","ENSG00000117472",-0.540354432086618
"hsa-mir-190b","ENSG00000171428",0.539836978408984
"hsa-mir-139","ENSG00000126895",0.539517921532709
"hsa-mir-934","ENSG00000129151",0.538097314259468
"hsa-mir-139","ENSG00000168497",0.537275894337155
"hsa-mir-615","ENSG00000180818",0.536722625958936
"hsa-let-7c","ENSG00000177363",0.536427637584724
"hsa-mir-150","ENSG00000137077",0.534463054637573
"hsa-mir-139","ENSG00000225670",0.534157668923117
"hsa-mir-190b","ENSG00000124249",0.533949700018483
"hsa-mir-190b","ENSG00000163064",-0.533843684102208
"hsa-mir-135b","ENSG00000205426",0.532916729440799
"hsa-mir-411","ENSG00000149451",0.532882025060679
"hsa-mir-934","ENSG00000117472",-0.532868925906371
"hsa-mir-577","ENSG00000136928",0.532810266093804
"hsa-mir-934","ENSG00000286288",0.532088858289761
"hsa-mir-449a","ENSG00000258752",0.532079497002899
"hsa-mir-934","ENSG00000160345",-0.532019533062201
"hsa-mir-139","ENSG00000213088",0.531892537204517
"hsa-mir-210","ENSG00000213088",-0.531156102011523
"hsa-let-7c","ENSG00000172935",0.530331670467366
"hsa-mir-934","ENSG00000205325",0.530308469393454
"hsa-mir-449b","ENSG00000112539",0.530208410110187
"hsa-mir-190b","ENSG00000101222",0.529702348808546
"hsa-mir-337","ENSG00000166482",0.529059037693038
"hsa-mir-139","ENSG00000276409",0.529016219726743
"hsa-mir-190b","ENSG00000150667",0.528480134992967
"hsa-mir-934","ENSG00000154928",0.528395174815114
"hsa-mir-934","ENSG00000110148",0.528156892731441
"hsa-mir-190b","ENSG00000141294",0.527930007558273
"hsa-mir-210","ENSG00000085563",-0.527887718563173
"hsa-let-7c","ENSG00000183722",0.527534247243181
"hsa-mir-379","ENSG00000160801",0.527271815529837
"hsa-mir-144","ENSG00000244734",0.527027941235806
"hsa-mir-150","ENSG00000005102",0.52696956107711
"hsa-mir-934","ENSG00000155918",0.526916206635557
"hsa-mir-934","ENSG00000069482",0.52647170108733
"hsa-mir-615","ENSG00000123388",0.526335395602681
"hsa-mir-577","ENSG00000104332",0.526157006347287
"hsa-mir-139","ENSG00000161649",0.525764640703
"hsa-mir-758","ENSG00000160801",0.52470226637361
"hsa-let-7c","ENSG00000182916",0.524499006719295
"hsa-mir-210","ENSG00000168497",-0.523109151851278
"hsa-mir-135b","ENSG00000163064",0.522859389489701
"hsa-mir-135b","ENSG00000104332",0.522661548187408
"hsa-mir-150","ENSG00000137033",0.522545479081728
"hsa-mir-410","ENSG00000166482",0.522536451907445
"hsa-let-7c","ENSG00000154721",0.522213565397151
"hsa-mir-379","ENSG00000234456",0.522200810698529
"hsa-mir-135b","ENSG00000227036",0.521492405693766
"hsa-mir-934","ENSG00000256124",0.521351852540127
"hsa-mir-190b","ENSG00000143452",-0.520875533277459
"hsa-mir-150","ENSG00000117594",0.520765611181615
"hsa-mir-125b-2","ENSG00000149451",0.52066752414302
"hsa-mir-135b","ENSG00000168350",-0.520588359305061
"hsa-mir-411","ENSG00000166482",0.520539197858646
"hsa-mir-190b","ENSG00000099769",0.520201020581356
"hsa-mir-190b","ENSG00000258910",-0.520200104594591
"hsa-let-7c","ENSG00000017427",0.518986341375462
"hsa-mir-577","ENSG00000149970",0.518974921939344
"hsa-mir-150","ENSG00000269404",0.517854858736337
"hsa-let-7c","ENSG00000149575",0.517849925349058
"hsa-mir-150","ENSG00000049249",0.51780960732728
"hsa-mir-150","ENSG00000235304",0.517381422982235
"hsa-mir-139","ENSG00000277494",0.516920444241613
"hsa-mir-190b","ENSG00000117472",0.516612435630306
"hsa-mir-934","ENSG00000183674",0.516384839794811
"hsa-mir-577","ENSG00000006377",0.516309130552259
"hsa-mir-758","ENSG00000172935",0.516217519907889
"hsa-mir-135b","ENSG00000106541",-0.516152093556603
"hsa-mir-379","ENSG00000182916",0.516137634995005
"hsa-let-7c","ENSG00000164946",0.516128482950171
"hsa-mir-337","ENSG00000149451",0.515951943570941
"hsa-mir-125b-1","ENSG00000149451",0.515942355674918
"hsa-mir-375","ENSG00000160180",0.515620142586282
"hsa-mir-150","ENSG00000154451",0.51561049831678
"hsa-mir-577","ENSG00000224853",0.515556032176037
"hsa-mir-150","ENSG00000085563",0.515541572338949
"hsa-mir-150","ENSG00000103522",0.515083815122846
"hsa-mir-150","ENSG00000135604",0.514556655562645
"hsa-mir-758","ENSG00000234456",0.514533465995533
"hsa-mir-379","ENSG00000233608",0.51447247056488
"hsa-mir-577","ENSG00000064787",-0.514234157810182
"hsa-mir-934","ENSG00000227036",0.514001085843641
"hsa-mir-135b","ENSG00000203688",0.513823360793724
"hsa-mir-379","ENSG00000183722",0.51369610480138
