"miRNA","mRNA","correlation"
"hsa-mir-190b","ENSG00000173467",0.677640279042857
"hsa-mir-934","ENSG00000094755",0.665295553222153
"hsa-mir-190b","ENSG00000091831",0.653720992810971
"hsa-mir-934","ENSG00000091831",-0.637523223109095
"hsa-mir-577","ENSG00000106541",-0.635797870085566
"hsa-mir-934","ENSG00000106541",-0.626653973599374
"hsa-mir-190b","ENSG00000160180",0.614174905712802
"hsa-mir-190b","ENSG00000106541",0.609310298581066
"hsa-mir-934","ENSG00000173467",-0.604530825938818
"hsa-mir-577","ENSG00000173467",-0.591666716188784
"hsa-mir-577","ENSG00000094755",0.581679254102616
"hsa-mir-577","ENSG00000091831",-0.579590503533306
"hsa-mir-135b","ENSG00000094755",0.575380927902131
"hsa-mir-934","ENSG00000104332",0.565880193532854
"hsa-mir-190b","ENSG00000160182",0.562973711694928
"hsa-mir-934","ENSG00000160180",-0.560757699613809
"hsa-mir-577","ENSG00000160180",-0.560392149211402
"hsa-mir-150","ENSG00000211899",0.554838983816493
"hsa-mir-934","ENSG00000205426",0.547740376789087
"hsa-mir-135b","ENSG00000091831",-0.54059257770716
"hsa-mir-150","ENSG00000211592",0.539321674566945
"hsa-mir-135b","ENSG00000205426",0.532916729440799
"hsa-mir-577","ENSG00000104332",0.526157006347287
"hsa-mir-135b","ENSG00000104332",0.522661548187408
"hsa-mir-135b","ENSG00000106541",-0.516152093556603
"hsa-mir-375","ENSG00000160180",0.515620142586282
"hsa-mir-135b","ENSG00000173467",-0.509129015892797
"hsa-mir-190b","ENSG00000235687",0.505686698423721
"hsa-mir-190b","ENSG00000175356",0.501824040886164
"hsa-mir-190b","ENSG00000082175",0.499191788669945
"hsa-mir-150","ENSG00000211896",0.499110065875401
"hsa-mir-190b","ENSG00000256612",0.498777737485896
"hsa-mir-190b","ENSG00000151892",0.497350624469117
"hsa-mir-577","ENSG00000175356",-0.491935327295854
"hsa-mir-934","ENSG00000151892",-0.489864539967417
"hsa-mir-135b","ENSG00000128422",0.48172709092154
"hsa-mir-135b","ENSG00000151892",-0.477132125831122
"hsa-mir-519a-1","ENSG00000106541",-0.468862083079439
"hsa-mir-224","ENSG00000173467",-0.468145880235585
"hsa-mir-934","ENSG00000128422",0.466332855726912
"hsa-mir-190b","ENSG00000094755",-0.466302666386389
"hsa-mir-375","ENSG00000106541",0.463328178124137
"hsa-mir-934","ENSG00000175356",-0.461303461974988
"hsa-mir-577","ENSG00000160182",-0.460948793481369
"hsa-mir-934","ENSG00000160182",-0.460506674698049
"hsa-mir-190b","ENSG00000251141",0.458762326750021
"hsa-mir-934","ENSG00000256612",-0.457114040575174
"hsa-mir-577","ENSG00000151892",-0.456521449298652
"hsa-mir-519a-1","ENSG00000091831",-0.454812813644121
"hsa-mir-135b","ENSG00000160180",-0.453702289798773
"hsa-mir-519a-1","ENSG00000173467",-0.452693633758684
"hsa-mir-934","ENSG00000148513",-0.451659274050289
"hsa-mir-190b","ENSG00000148513",0.451481977738832
"hsa-mir-224","ENSG00000091831",-0.448427808690464
"hsa-mir-934","ENSG00000003989",-0.445602371552609
"hsa-mir-31","ENSG00000128422",0.439594815977585
"hsa-mir-519a-1","ENSG00000094755",0.436803858412986
"hsa-mir-135b","ENSG00000186081",0.435527240142984
"hsa-mir-934","ENSG00000235687",-0.434791615892783
"hsa-mir-135b","ENSG00000175356",-0.434756509258326
"hsa-mir-577","ENSG00000235687",-0.432784344706425
"hsa-mir-375","ENSG00000160182",0.431160957988626
"hsa-mir-577","ENSG00000148513",-0.430538637092427
"hsa-mir-934","ENSG00000082175",-0.426341665038537
"hsa-mir-577","ENSG00000256612",-0.426113347438489
"hsa-mir-9-1","ENSG00000175356",-0.413807488706886
"hsa-mir-452","ENSG00000091831",-0.413414047817566
"hsa-mir-9-3","ENSG00000175356",-0.412966085968353
"hsa-mir-9-2","ENSG00000175356",-0.411952228960234
"hsa-mir-135a-2","ENSG00000082175",0.408395788148202
"hsa-mir-519a-1","ENSG00000160180",-0.40588823234342
"hsa-mir-31","ENSG00000186081",0.402531036515174
"hsa-mir-934","ENSG00000186081",0.402368225937273
"hsa-mir-577","ENSG00000003989",-0.400945768074027
"hsa-mir-135b","ENSG00000256612",-0.400563559633662
"hsa-mir-375","ENSG00000173467",0.399389378858542
"hsa-mir-190b","ENSG00000104332",-0.398337525367007
"hsa-mir-135b","ENSG00000186847",0.397389583757825
"hsa-mir-577","ENSG00000205426",0.396868159279018
"hsa-mir-135b","ENSG00000148513",-0.392835507565483
"hsa-mir-934","ENSG00000251141",-0.392824102631218
"hsa-mir-224","ENSG00000106541",-0.391218363538408
"hsa-mir-204","ENSG00000186847",0.391175381028527
"hsa-mir-135a-1","ENSG00000082175",0.391145249686257
"hsa-mir-577","ENSG00000082175",-0.391144899293429
"hsa-mir-9-3","ENSG00000091831",-0.391096917928207
"hsa-mir-9-2","ENSG00000091831",-0.390988018636557
"hsa-mir-9-1","ENSG00000091831",-0.39098707431385
"hsa-mir-224","ENSG00000151892",-0.390724487436653
"hsa-mir-452","ENSG00000173467",-0.390481342543651
"hsa-mir-519a-1","ENSG00000205426",0.388267950348662
"hsa-mir-135b","ENSG00000003989",-0.38630113597607
"hsa-mir-224","ENSG00000160180",-0.385246826098899
"hsa-mir-190b","ENSG00000003989",0.382081626167369
"hsa-mir-31","ENSG00000186847",0.381525730871299
"hsa-mir-6510","ENSG00000186847",0.38137402006531
"hsa-mir-934","ENSG00000162989",-0.377465607395889
"hsa-mir-519a-1","ENSG00000104332",0.372952715255399
"hsa-mir-184","ENSG00000110484",0.371659865555813
"hsa-mir-149","ENSG00000173467",0.370739756965198
"hsa-mir-6510","ENSG00000104332",0.370014317315568
"hsa-mir-105-1","ENSG00000185686",0.36983607034443
"hsa-mir-105-1","ENSG00000175356",-0.365953955788648
"hsa-mir-375","ENSG00000091831",0.364767424772465
"hsa-mir-135b","ENSG00000235687",-0.36460978478483
"hsa-mir-105-1","ENSG00000173467",-0.364548910239522
"hsa-mir-184","ENSG00000008196",0.364163528766824
"hsa-mir-105-1","ENSG00000091831",-0.363226834216392
"hsa-mir-105-2","ENSG00000185686",0.36229970272792
"hsa-mir-204","ENSG00000104332",0.361274338147518
"hsa-mir-375","ENSG00000094755",-0.359950389307985
"hsa-mir-224","ENSG00000175356",-0.359414692099924
"hsa-mir-105-2","ENSG00000173467",-0.357733054660179
"hsa-mir-105-2","ENSG00000091831",-0.354699757251905
"hsa-mir-519a-1","ENSG00000175356",-0.354394089087614
"hsa-mir-767","ENSG00000185686",0.354289774290266
"hsa-mir-105-2","ENSG00000175356",-0.351966108011079
"hsa-mir-31","ENSG00000104332",0.351927003226218
"hsa-mir-135b","ENSG00000162989",-0.350873447413102
"hsa-mir-767","ENSG00000091831",-0.350730379486498
"hsa-mir-9-1","ENSG00000151892",-0.348483719200139
"hsa-mir-9-2","ENSG00000173467",-0.348180214052741
"hsa-mir-224","ENSG00000160182",-0.347965787210058
"hsa-mir-6510","ENSG00000094755",0.34754772643768
"hsa-mir-9-1","ENSG00000173467",-0.347524682625074
"hsa-mir-9-3","ENSG00000173467",-0.347200296539023
"hsa-mir-9-2","ENSG00000151892",-0.346847908411867
