"Gene","Module","ModuleColor"
"ENSG00000110484",0,"grey"
"ENSG00000153002",0,"grey"
"ENSG00000166509",0,"grey"
"ENSG00000124935",0,"grey"
"ENSG00000159763",1,"turquoise"
"ENSG00000172551",0,"grey"
"ENSG00000160182",1,"turquoise"
"ENSG00000012223",0,"grey"
"ENSG00000256612",0,"grey"
"ENSG00000138696",0,"grey"
"ENSG00000100867",0,"grey"
"ENSG00000151892",0,"grey"
"ENSG00000211896",6,"red"
"ENSG00000164128",0,"grey"
"ENSG00000160180",1,"turquoise"
"ENSG00000162989",0,"grey"
"ENSG00000008196",0,"grey"
"ENSG00000106541",1,"turquoise"
"ENSG00000094755",0,"grey"
"ENSG00000082175",1,"turquoise"
"ENSG00000186081",0,"grey"
"ENSG00000086548",0,"grey"
"ENSG00000186160",1,"turquoise"
"ENSG00000091831",5,"green"
"ENSG00000244468",0,"grey"
"ENSG00000178372",0,"grey"
"ENSG00000173467",1,"turquoise"
"ENSG00000186847",0,"grey"
"ENSG00000235687",1,"turquoise"
"ENSG00000117983",0,"grey"
"ENSG00000242265",0,"grey"
"ENSG00000134240",1,"turquoise"
"ENSG00000175356",1,"turquoise"
"ENSG00000184956",0,"grey"
"ENSG00000148513",1,"turquoise"
"ENSG00000139219",0,"grey"
"ENSG00000211899",6,"red"
"ENSG00000081479",0,"grey"
"ENSG00000159212",0,"grey"
"ENSG00000251141",1,"turquoise"
"ENSG00000019505",0,"grey"
"ENSG00000128422",0,"grey"
"ENSG00000211592",6,"red"
"ENSG00000185686",1,"turquoise"
"ENSG00000003989",1,"turquoise"
"ENSG00000143556",0,"grey"
"ENSG00000104332",0,"grey"
"ENSG00000131771",0,"grey"
"ENSG00000198650",0,"grey"
"ENSG00000205426",0,"grey"
"ENSG00000164756",0,"grey"
"ENSG00000184564",0,"grey"
"ENSG00000163220",0,"grey"
"ENSG00000105388",0,"grey"
"ENSG00000007062",0,"grey"
"ENSG00000101210",0,"grey"
"ENSG00000047457",0,"grey"
"ENSG00000196090",1,"turquoise"
"ENSG00000181617",2,"blue"
"ENSG00000171428",1,"turquoise"
"ENSG00000211895",6,"red"
"ENSG00000233622",0,"grey"
"ENSG00000141750",0,"grey"
"ENSG00000211897",6,"red"
"ENSG00000170099",0,"grey"
"ENSG00000121270",0,"grey"
